token_spacy,lemma,pos
statue,statue,NOUN
Cornaline,Cornaline,PROPN
statues,statue,NOUN
R,r,NOUN
Apelles,Apelles,PROPN
à,à,ADP
Agate,Agate,PROPN
dans,dans,ADP
Il,il,PRON
Apollon,Apollon,PROPN
il,il,PRON
le,le,DET
représente,représenter,VERB
On,on,PRON
Le,le,DET
Aphrodite,Aphrodite,PROPN
Vénus,Vénus,PROPN
Jaspe,Jaspe,PROPN
groupe,groupe,NOUN
on,on,PRON
Tête,Tête,PROPN
les,le,DET
Jupiter,Jupiter,PROPN
tableau,tableau,NOUN
Sardonyx,Sardonyx,PROPN
sur,sur,ADP
vase,vase,NOUN
un,un,DET
deux,deux,NUM
bas,bas,NOUN
Les,le,DET
Kouros,kouros,NOUN
tête,tête,NOUN
coupe,coupe,NOUN
Cylix,Cylix,PROPN
Amphore,amphore,NOUN
Phidias,phidias,ADV
Int,Int,X
Sur,sur,ADP
y,y,PRON
portrait,portrait,NOUN
représentant,représentant,NOUN
Minerve,Minerve,PROPN
type,type,NOUN
représentation,représentation,NOUN
A,a,NOUN
OEnochoé,OEnochoé,PROPN
Peliké,Peliké,PROPN
Athéna,Athéna,PROPN
Amph,Amph,PROPN
Scène,scène,NOUN
mosaïque,mosaïque,PROPN
Apelle,Apelle,PROPN
représenter,représenter,VERB
est,être,AUX
Éros,Éros,PROPN
La,le,DET
Lysippe,Lysippe,PROPN
base,base,NOUN
a,avoir,AUX
Héraclès,Héraclès,PROPN
peint,peindre,VERB
Zeuxis,Zeuxis,PROPN
De,de,ADP
peindre,peindre,VERB
de,de,ADP
la,le,DET
Praxitèle,Praxitèle,PROPN
frise,frise,VERB
Zeus,Zeus,PROPN
vases,vase,NOUN
une,un,DET
Myron,Myron,PROPN
stèle,stèle,NOUN
Achille,Achille,PROPN
temple,temple,NOUN
Onyx,Onyx,PROPN
Amour,Amour,PROPN
belle,bel,ADJ
au,au,ADP
Hercule,Hercule,PROPN
tableaux,tableau,NOUN
