token_spacy,lemma,pos,info pos
l',le,DET,determiner
Anathema,Anathema,PROPN,proper noun
"
","
",SPACE,space
la,le,DET,determiner
Fortune,fortune,NOUN,noun
"
","
",SPACE,space
le,le,DET,determiner
Bacchus,Bacchus,PROPN,proper noun
"
","
",SPACE,space
le,le,DET,determiner
Laocoon,laocoon,NOUN,noun
"
","
",SPACE,space
les,le,DET,determiner
Thespiades,thespiade,NOUN,noun
"
","
",SPACE,space
un,un,DET,determiner
Apollon,apollon,NOUN,noun
"
","
",SPACE,space
un,un,DET,determiner
Apollon,apollon,NOUN,noun
colossal,colossal,ADJ,adjective
"
","
",SPACE,space
un,un,DET,determiner
Esculape,Esculape,PROPN,proper noun
"
","
",SPACE,space
un,un,DET,determiner
Hercule,Hercule,PROPN,proper noun
"
","
",SPACE,space
un,un,DET,determiner
Jupiter,Jupiter,PROPN,proper noun
"
","
",SPACE,space
une,un,DET,determiner
Diane,Diane,PROPN,proper noun
"
","
",SPACE,space
une,un,DET,determiner
Junon,junon,NOUN,noun
"
","
",SPACE,space
une,un,DET,determiner
Latone,Latone,PROPN,proper noun
"
 ","
 ",SPACE,space
statues,statue,NOUN,noun
de,de,ADP,adposition
Muses,muse,NOUN,noun
"
","
",SPACE,space
Achille,Achille,PROPN,proper noun
en,en,ADP,adposition
bronze,bronze,NOUN,noun
"
","
",SPACE,space
Apollon,Apollon,PROPN,proper noun
Dydiméen,dydiméen,NOUN,noun
colossal,colossal,ADJ,adjective
"
","
",SPACE,space
Apollon,Apollon,PROPN,proper noun
Isménien,Isménien,PROPN,proper noun
en,en,ADP,adposition
bois,bois,NOUN,noun
de,de,ADP,adposition
cèdre,cèdre,NOUN,noun
"
","
",SPACE,space
Bacchus,Bacchus,PROPN,proper noun
d',de,ADP,adposition
or,or,NOUN,noun
et,et,CCONJ,coordinating conjunction
d',de,ADP,adposition
ivoire,ivoire,PROPN,proper noun
"
","
",SPACE,space
Esculape,Esculape,PROPN,proper noun
d',de,ADP,adposition
or,or,NOUN,noun
et,et,CCONJ,coordinating conjunction
d',de,ADP,adposition
argent,argent,NOUN,noun
"
","
",SPACE,space
Esculape,Esculape,PROPN,proper noun
d',de,ADP,adposition
or,or,NOUN,noun
et,et,CCONJ,coordinating conjunction
d',de,ADP,adposition
ivoire,ivoire,PROPN,proper noun
"
","
",SPACE,space
Jupiter,Jupiter,PROPN,proper noun
Olympien,Olympien,PROPN,proper noun
"
","
",SPACE,space
Jupiter,jupiter,VERB,verb
colossal,colossal,ADJ,adjective
"
","
",SPACE,space
Minerve,Minerve,PROPN,proper noun
d',de,ADP,adposition
Athènes,Athènes,PROPN,proper noun
"
","
",SPACE,space
Minerve,minerve,NOUN,noun
d',de,ADP,adposition
or,or,NOUN,noun
et,et,CCONJ,coordinating conjunction
d',de,ADP,adposition
ivoire,ivoire,PROPN,proper noun
"
","
",SPACE,space
Némésis,Némésis,PROPN,proper noun
colossale,colossal,ADJ,adjective
"
","
",SPACE,space
Torse,torse,NOUN,noun
du,de,ADP,adposition
Belvédère,Belvédère,PROPN,proper noun
"
","
",SPACE,space
Venus,venu,NOUN,noun
genitrix,genitrix,ADV,adverb
"
","
",SPACE,space
Vénus,Vénus,PROPN,proper noun
Uranie,Uranie,PROPN,proper noun
en,en,ADP,adposition
or,or,NOUN,noun
et,et,CCONJ,coordinating conjunction
en,en,ADP,adposition
ivoire,ivoire,PROPN,proper noun
"
","
",SPACE,space
Vénus,Vénus,PROPN,proper noun
accroupie,accroupie,NOUN,noun
"
","
",SPACE,space
Vénus,Vénus,PROPN,proper noun
de,de,ADP,adposition
Milo,Milo,PROPN,proper noun
"
","
",SPACE,space
base,base,NOUN,noun
d',de,ADP,adposition
une,un,DET,determiner
statue,statue,NOUN,noun
d',de,ADP,adposition
Esculape,Esculape,PROPN,proper noun
"
","
",SPACE,space
base,base,NOUN,noun
d',de,ADP,adposition
une,un,DET,determiner
statue,statue,NOUN,noun
de,de,ADP,adposition
Mercure,Mercure,PROPN,proper noun
"
","
",SPACE,space
buste,buste,NOUN,noun
